Title,Album,Lyrics
Oh Star,The B-Sides,"[Verse 1]
Oh, star, fall down on me
Let me make a wish upon you
Hold on, let me think
Think of what I'm wishing for

[Pre-Chorus]
Wait, don't go away
Just not yet
'Cause I thought I had it
But I forget

[Chorus]
And I won't let you fall away from me
You will never fade
And I won't let you fall away from me
You will never fade away from me


[Verse 2]
And now I let my dreams consume me
They tell me what to think
But hold on, hold on
What am I dreaming? Yeah

[Pre-Chorus]
Wait, don't go away
Just not yet
'Cause I thought that I had it
But I forget

[Chorus]
And I won't let you fall away from me
You will never fade away
I won't let you fall away
You will never fade away
And I won't let you fall away (Fall away)
You will never fade away
And I won't let you fall away from me (Fall away)
You will never


[Outro]
Oh, star, fall down on me"
Just Like Me,The B-Sides,"[Verse 1]
I slipped down the stairs
Tripped over your fragile ego
I slid down the hallway
Right into the web you'd woven

[Chorus]
And you never said
That you meant to save someone
Somebody just like me
And you never told me
You wanted to love someone
Somebody just like me

[Verse 2]
You locked all the doors
You felt it was safer that way
You put up a wall
And now your whole world is caving in

[Chorus]
And you never said
That you meant to save someone
Somebody just like me
And you never told me
You wanted to love someone
Somebody just like me

[Bridge]
You swallowed your pride as you left behind
Counting stars to name your lies

You let the rain push you away
And now you're drowning in the waves

[Chorus]
Yeah, and you never said
That you meant to save someone
Somebody just like me
And you never told me
You wanted to love someone
Somebody just like me
And you never told me
You wanted to love someone
Somebody just like, somebody just like me

[Outro]
And you never said
That you meant to save someone
Like me
Somebody just like me"
Hello Hello,The B-Sides,"[Intro]
Hello, hello? Is anyone home?
Hello, hello? Just pick up the phone


[Verse 1]
I opened up my life to you
I told you everything I knew
You listened so closely to
You listened so close when love was just a way out

[Pre-Chorus]
But you're going deaf now
Yeah, you turned your head around


[Chorus]
Hello, hello? Is anyone home?
Hello, hello? Just pick up the phone

You'll be sorry to hear I'm doing fine now
Sorry to hear you're without me now


[Verse 2]
You blew up the world I built for us
Destroyed our secret universe

Threw out the trust I put in you
Making me feel like I'd been used

[Pre-Chorus]
And now I'm reminded
That I was just blinded


[Chorus]
Hello, hello? Is anyone home?
Hello, hello? Just pick up the phone

You'll be sorry to hear I'm doing fine now
Sorry to hear you're without me now


[Bridge]
I'm doing fine, you'll be alright
Maybe you'll think of me tonight
(Hello)
You're doing fine and I'll be alright

Just give me time, yeah


[Chorus]
Hello, hello? Is anyone home?
Hello, hello? Just pick up the phone

I don't wanna hear you're doing fine now
Don't wanna hear I'm without you now


[Outro]
I'm without you now
I'm without you"
This Circle,The B-Sides,"[Verse 1]
Take this time to realize
That you always shut your eyes
In the midst of trial
And everything is always right


[Pre-Chorus]
(And I think that it's time)
This battle must be won
(But you pushed it aside)
Pushed it aside, pretend that it's gone


[Chorus]
This circle never ends
And it's time you
Just face it, don't pretend
That it's over
This circle never ends
And it's time you
Just face it, don't pretend
That it's over


[Verse 2]
Take this time to realize
That you always force a smile
In the midst of trial
And everything is always right

[Pre-Chorus]
(And I think that it's time)
This battle must be won
(But you pushed it aside)
Pushed it aside, pretend that it's gone

[Chorus]
This circle never ends
And it's time you
Just face it, don't pretend
That it's over
This circle never ends
And it's time you
Just face it, don't pretend
That it's over


[Bridge]
And it never ends
It never ends
And it never ends
(And it never ends)
No, it never ends


[Chorus]
This circle never ends
And it's time you
Just face it, don't pretend
That it's over
This circle never ends
And it's time you
Just face it, don't pretend
That it's over
It's over"
Adore,The B-Sides,"[Verse 1]
I don't mean to run
But every time you come around, I feel more alive
Than ever
And I guess it's too much
Maybe we're too young and I don't even know what's real
But I know

[Pre-Chorus]
I've never wanted anything so bad
I've never wanted anyone so bad

[Chorus]
If I let you love me, be the one adored
Would you go all the way? Be the one I'm looking for?
If I let you love me, be the one adored (If I say it's okay)
Would you go all the way? Be the one I'm looking for? (Stay)

[Verse 2]
Help me come back down
From high above the clouds, you know I'm suffocating
But I blame this town

Why do I deny
The things that burn inside? Down deep, I'm barely breathing
But you just see a smile

[Pre-Chorus]
And I don't wanna let this go

Really, I just want to know

[Chorus]
If I let you love me, be the one adored
Would you go all the way? Be the one I'm looking for?
If I let you love me, be the one adored (If I say it's okay)
Would you go all the way? Be the one I'm looking for? (Stay)

[Bridge]
If I let you love me, be the one adored
Would you go all the way? Be the one I'm looking for?

[Chorus]
If I let you love me, be the one adored
Would you go all the way? Be the one I'm looking for?
If I let you love me, be the one adored (If I say it's okay)
Would you go all the way? Be the one I'm looking for? (Stay)"
My Number One,The B-Sides,"[Verse 1]
You're my number one (You're my number one)
You're my golden star
I look at Earth from here
Still you don't seem so far

[Pre-Chorus]
But you will never know (You will never know)
Oh, you will never know

[Chorus]
Oh, oh, oh, oh, oh, oh, oh
Oh, I would never admit that I - 
Oh, oh, oh, oh, oh, oh, oh
Oh, I would never admit that I - 
Oh, oh, oh, oh, oh, oh, oh
Oh, I would never admit that I - 
Oh, oh, oh, oh, oh, oh, oh

[Verse 2]
Do you think of me?
Do you wonder
If we could ever be
Residing under?

[Pre-Chorus]
Because we will never know (We will never know)
Until I see you show through

[Chorus]
Oh, oh, oh, oh, oh, oh, oh
Oh, I would never admit that I - 
Oh, oh, oh, oh, oh, oh, oh
Oh, I would never admit that I - 
Oh, oh, oh, oh, oh, oh, oh
Oh, I would never admit that I - 
Oh, oh, oh, oh, oh, oh, oh

[Bridge]
I, I wish I could tell you how I feel
And show you what's inside of me is real
Don't know what I'm waiting for
Can't explain it anymore, yeah

[Chorus]
Oh, oh, oh, oh, oh, oh, oh
Oh, I would never admit that I - 
Oh, oh, oh, oh, oh, oh, oh
No, I would never admit that I - 
Oh, oh, oh, oh, oh, oh, oh
Oh, I would never admit that I - 
Oh, oh, oh, oh, oh, oh, oh

[Outro]
I (Oh, oh, oh, oh, oh, oh, oh)
And I love (Oh, oh, oh, oh, oh, oh, oh)
I love (Oh, oh, oh, oh, oh, oh, oh)
I love you"
Sunday Bloody Sunday,The B-Sides,"[Verse 1]
I can't believe the news today
Oh, I can't close my eyes and make it go away

[Interlude]
How long? How long must we sing this song?
How long? How long?
Tonight, we can be as one
Tonight

[Verse 2]
Broken bottles under children's feet
And bodies strewn across the dead-end street
But I won't heed the battle call
It puts my back up, puts my back up against the wall

[Chorus]
Sunday, bloody Sunday
Sunday, bloody Sunday
Sunday, bloody Sunday
Sunday, bloody Sunday


[Verse 3]
And the battle's just begun
There's many lost, but tell me, who has won?
The trench is dug within our hearts
And mothers, children, brothers, sisters torn apart

[Chorus]
Sunday, bloody Sunday
Sunday, bloody Sunday

[Interlude]
How long? How long must we sing this song?
How long?
How long?

[Verse 4]
And it's true we are immune
When fact is fiction and T.V., reality
And today the millions cry
We eat and drink, while tomorrow they die, yeah

[Bridge]
I wipe the tears from your eyes
I wipe your tears away
(Tonight, tonight)
I wipe your tears away
(Tonight, tonight)
I wipe your tears away
I wipe your bloodshot eyes
(Tonight, tonight)

[Chorus]
Sunday, bloody Sunday
Sunday, bloody Sunday
Sunday, bloody Sunday
(The real battle just begun)
Sunday, bloody Sunday
(To claim the victory Jesus won on)

[Outro]
Sunday, bloody Sunday
Sunday, bloody Sunday"
Throwing Punches,The B-Sides,"[Verse 1]
There's an empty room at the end of the hall
And it's begging to swallow you whole

[Pre-Chorus]
Each step you take
Makes it easier to fall on your face
Each tear you fake
Makes it easier to see straight through you now

[Chorus]
And you're so hateful sometimes
Throwing punches at lies
Far from somewhere above
Just to say you're in love

[Verse 2]
So you hang yourself from stolen dreams

And under the table, you hide every stain

[Pre-Chorus]
Each step you take (Getting closer)
Makes it easier to fall on your face
Each death you fake (Getting closer)
Makes it easier to live this way, hey, now

[Chorus]
And you're so hateful sometimes
Throwing punches at lies
Far from somewhere above
Just to say you're in love

[Bridge]
Watch it disappear
The dream you hold so dear
Let it fade (Let it fade)
Let it fade (Let it fade)
Let it fade (Let it fade)
Now

[Chorus]
And you're so hateful sometimes
Throwing punches at lies
Far from somewhere above
Just to say you're in love

[Outro]
Just to say you're in love"
Breathe,The B-Sides,"[Verse 1]
I climb, I slip, I fall
Reaching for your hands
But I lay here all alone
Sweating all your blood
If I could find out how
To make you listen now
Because I'm starving for you here
With my undying love

[Pre-Chorus]
And I
I will

[Chorus]
Breathe for love tomorrow
'Cause there's no hope for today
Breathe for love tomorrow
'Cause maybe there's another way

[Verse 2]
I climb, I slip, I fall
Reaching for your hands
But I lay here all alone
Sweating all your blood
If I could find out how
To make you listen now
Because I'm starving for you here
With my undying love

[Pre-Chorus]
And I
I will

[Chorus]
Breathe for love tomorrow
'Cause there's no hope for today
Breathe for love tomorrow
'Cause maybe there's another way

[Instrumental Bridge]

[Chorus]
Breathe for love tomorrow
'Cause there's no hope for today
Breathe for love tomorrow
'Cause maybe there's another way

[Outro]
I climb, I slip, I fall
Into your empty hands
But I lay here all alone
Sweating all your blood"
Swim In Silence,The B-Sides,"[Verse 1]
Meet me here beneath the burning skies
Where the ocean comes and takes us from all of our lives
You never said that you were coming back
I have waited although I have found the place you hide

[Pre-Chorus]
What keeps you so far away?

[Chorus]
We can swim in silence
You can pull me under
I will not come up for anyone
I can slowly sink and
Watch you as you're leaving
I will drown until you care

[Post-Chorus]
I will drown until you care

[Verse 2]
I imagine what it must be like
To have everything you need and not be satisfied (Not be satisfied)
Run the water 'til it burns
And you can't see through the waves that crash into your pride

[Pre-Chorus]
What keeps you so far away?

[Chorus]
We can swim in silence
You can pull me under
I will not come up for anyone
I can slowly sink and
Watch you as you're leaving
I will drown until you care

[Post-Chorus]
Going under
Going under

[Bridge]
Getting close to what we cannot recognize
Floating face down in the lies
Here we are without a trace
But the lies we used to blame
And you're so far away
What keeps you so far away?

[Chorus]
We can swim in silence
You can pull me under
And I will not come up for anyone
And I can slowly sink and
Watch you as you're leaving
I will drown until you care
We can swim in silence
You can pull me under
I will not come up for anyone
We can swim in silence
And you can pull me under
I will not come up for anyone

[Outro]
Yeah
Oh
Yeah
And I will drown until you care, ooh"
Stay Away,The B-Sides,"[Verse 1]
Your lies are bleeding through your teeth
Your eyes, the only one thing in me
Your promises never really meant a thing
But they float from your lips so easily

[Chorus]
Stay, stay, stay, stay, stay away from me
Stay, stay, stay, stay away
Stay, stay, stay, stay away from me
Stay, stay, stay, stay away, away

[Verse 2]
It's my best at your heart
The glass that rips your word apart
Is it the guilt that keeps you up at night when you're in bed?
Well, you can sleep sound, honey, I'll write you a check, oh

[Chorus]
Stay, stay, stay, stay, stay away from me
Stay, stay, stay, stay away
Stay, stay, stay, stay away from me
Stay, stay, stay, stay away, away

[Bridge]
I never was too good with goodbyes
You made it easy when your glee presided
With all the evil that you've provided
You still put the ""good"" in ""goodbye""
In goodbye
In goodbye

[Chorus]
Stay away, stay, stay, stay away from me
Stay, stay, stay, stay, stay away from me
Stay, stay, stay, stay away from me
Stay, stay, stay, stay, stay away from me"
Temporary (Demo),The B-Sides,"[Verse 1]
I used to be so quick, so clever
I used to know myself much better
Anyone can see that this is only permanent
Temporary, it never hurts to try

[Chorus]
And it's all a game
I know we'll stay the same
But repetition ends in failure
And every time I see it in your eyes
When repetition ends, we'll start over

[Verse 2]
Now I'm a walking contradiction
So tell me what's wrong with this picture
Cause anyone can see that this is only permanent
Temporary, so don't hurt me this time

[Chorus]
And it's all a game
I know we'll stay the same
But repetition ends in failure
And every time I see it in your eyes
When repetition ends, we'll start over

[Bridge]
So give it up, just give up
Give it up, give up
So give it up, just give up
Give it up, give up

[Chorus]
And it's all a game
I know we'll stay the same
But repetition ends in failure
And every time I see it in your eyes
When repetition ends, we'll start over

[Outro]
We'll start over"
Teenagers,The B-Sides,"[Verse 1]
I'm gonna go on living like I never met you
And it'll feel wrong at first, but I think I can forget you

Ignore the fact that we sleep no more than three feet apart
I feel you now, you're all around me, underneath me
You're all around me, underneath me


[Chorus]
Well, how was I to know that what we carved in stone
Would be so temporary?

Well, how was I to know that my first crack in love
Would not be the last? It won't be the last


[Verse 2]
It's in the air now, bitter tears and broken hearts

We're teenagers, we count the years
, we think we're smart
But we're not, we don't know anything


[Chorus]
So don't ask me where I'll go 'cause, frankly, I don't know
And I don't give a shit
(Ah)
Why must we all make sense of what just won't make sense?

For once, I'm just gonna live, I'm just gonna live


[Bridge]
We're teenagers, we don't know anything
We're teenagers, we don't know anything

Oh

[Chorus]
Well, how was I to know that what we carved in stone
Would be so temporary?
(I'm gonna go on)
Why must we all make sense of what just won't make sense?

For once, I'm just gonna live, I'm just gonna live"
I Caught Myself,Decode / I Caught Myself,"[Verse 1]
Down to you
You're pushin' and pullin' me
Down to you

But I don't know what I - 

[Chorus]
Now when I caught myself
I had to stop myself
From saying something that
I should've never thought
Now when I caught myself
I had to stop myself
From saying something that
I should've never thought of you
Of you
You're pushin' and pullin' me
Down to you
But I don't know what I want
No, I don't know what I want

[Verse 2]
You got it, you got it
Some kind of magic
Hypnotic, hypnotic
You're leaving me breathless
I hate this, I hate this
You're not the one I believe in
With God as my witness

[Chorus]
Now when I caught myself
I had to stop myself
From saying something that
I should've never thought
Now when I caught myself
I had to stop myself
From saying something that
I should've never thought of you
Of you
You're pushin' and pullin' me
Down to you
But I don't know what I want
No, I don't know what I want

[Bridge]
Don't know what I want
But I know it's not you
Keep pushin' and pullin' me down
When I know, in my heart, it's not you

[Breakdown]
Ooh
Oh

[Chorus]
Now when I caught myself
I had to stop myself
From saying something that
I should've never thought
Now when I caught myself
I had to stop myself
From saying something that
I should've never thought of you
I knew
I know, in my heart, it's not you
I know
But now, I know what I want
I want
I want

[Outro]
Oh, no, I should've never thought"
Decode,Decode / I Caught Myself,"[Verse 1]
How can I decide what's right
When you're clouding up my mind?

I can't win your losing fight
All the time
Nor can I ever own what's mine
When you're always taking sides
But you won't take away my pride


[Pre-Chorus]
No, not this time
Not this time

[Chorus]
How did we get here
When I used to know you so well?
But how did we get here?
Well, I think I know

[Verse 2]
The truth is hiding in your eyes

And it's hanging on your tongue
Just boiling in my blood

But you think that I can't see
What kind of man that you are

If you're a man at all

Well, I will figure this one out

[Pre-Chorus]
On my own (I'm screaming, ""I love you so"")
On my own (But my thoughts, you can't decode)


[Chorus]
But how did we get here
When I used to know you so well? Yeah
How did we get here?
Well, I think I know

[Bridge]
Do you see what we've done?
We've gone and made such fools of ourselves
Do you see what we've done?
We've gone and made such fools of ourselves

[Breakdown]
Yeah, yeah
Hey

[Chorus]
How did we get here
When I used to know you so well? Yeah, yeah, yeah
Well, how did we get here
When I used to know you so well?

[Post-Chorus]
I think I know
I think I know

[Outro]
Ooh, there is something
I see in you
It might kill me
I want it to be true"
Careful,brand new eyes,"[Verse 1]
I settled down a twisted-up frown
Disguised as a smile
, well
You would've never known
I had it all, but not what I wanted
'Cause hope, for me, was a place uncharted
And overgrown

[Pre-Chorus]
You'd make your way in
I'd resist you just like this
You can't tell me to feel
The truth never set me free so I did it myself


[Chorus]

You can't be too careful anymore
When all that is waiting for you
Won't come any closer
You've got to reach out
A little more, more

More, more, more


[Verse 2]
Open your eyes like I opened mine
It's only the real world
A life you will never know
Shifting your weight to throw off the pain
Well, you can ignore it
But only for so long

[Pre-Chorus]
You look like I did
You resist me just like this

You can't tell me to heal

And it hurts remembering how it felt to shut down


[Chorus]

Can't be too careful anymore
When all that is waiting for you
Won't come any closer
You've got to reach out
A little more, more

More, more, more


[Bridge]
The truth never set me free
The truth never set me free
The truth never set me free so I'll do it myself


[Chorus]

You can't be too careful anymore
When all that is waiting for you
Won't come any closer
You've got to reach out

Can't be too careful anymore
When all that is waiting for you
Won't come any closer
You've got to reach out
More, more

More, more, more"
Ignorance,brand new eyes,"[Verse 1]
If I'm a bad person, you don't like me
Well, I guess I'll make my own way
It's a circle, a mean cycle
I can't excite you anymore

Where's your gavel? Your jury?
What's my offense this time?
You're not a judge, but if you're gonna judge me
Oh, sentence me to another life


[Pre-Chorus]
Don't wanna hear your sad songs, I don't wanna feel your pain

When you swear it's all my fault
'cause you know we're not the same (No)
We're not the same (Oh)
Oh, we're not the same

Yeah, the friends who stuck together, we wrote our names in blood
But I guess you can't accept that the change is good (Hey)
It's good (Hey)
It's good


[Chorus]
Well, you treat me just like another stranger
Well, it's nice to meet you, sir, I guess I'll go
I best be on my way out
You treat me just like another stranger
Well, it's nice to meet you, sir, I guess I'll go
I best be on my way out

[Post-Chorus]
Ignorance is your new best friend
Ignorance is your new best friend


[Verse 2]
This is the best thing that could've happened
Any longer and I wouldn't have made it

It's not a war, no, it's not a rapture
I'm just a person, but you can't take it
The same tricks that, that once fooled me
They won't get you anywhere
I'm not the same kid from your memory
Well, now I can fend for myself

[Pre-Chorus]
Don't wanna hear your sad songs, I don't wanna feel your pain

When you swear it's all my fault
'cause you know we're not the same (No)
We're not the same (Oh)
Oh, we're not the same

Yeah, we used to stick together, we wrote our names in blood
But I guess you can't accept that the change is good (Hey)
It's good (Hey)
It's good


[Chorus]
Well, you treat me just like another stranger
Well, it's nice to meet you, sir, I guess I'll go
I best be on my way out
You treat me just like another stranger
Well, it's nice to meet you, sir, I guess I'll go
I best be on my way out

[Post-Chorus]
Ignorance is your new best friend
Ignorance is your new best friend
Ignorance is your new best friend
Ignorance is your new best friend


[Chorus]
Well, you treat me just like another stranger
Well, it's nice to meet you, sir, I guess I'll go
I best be on my way out
You treat me just like another stranger
Well, it's nice to meet you, sir, I guess I'll go
I best be on my way out"
Playing God,brand new eyes,"[Verse 1]
I can't make my own decisions
Or make any with precision
Well, maybe you should tie me up
So I don't go where you don't want me

You say that I've been changing
That I'm not just simply aging
Yeah, how could that be logical?
Just keep on cramming ideas down my throat


[Pre-Chorus]
Woah

[Chorus]
You don't have to believe me
But the way I, way I see it
Next time you point a finger
I might have to bend it back or break it, break it off
Next time you point a finger
I'll point you to the mirror


[Verse 2]
If God's the game that you're playing
Well, we must get more acquainted

Because it has to be so lonely
To be the only one who's holy

It's just my humble opinion
But it's one that I believe in
You don't deserve a point of view
If the only thing you see is you

[Pre-Chorus]
Woah

[Chorus]
You don't have to believe me
But the way I, way I see it
Next time you point a finger
I might have to bend it back or break it, break it off
Next time you point a finger
I'll point you to the mirror


[Bridge]
This is the last second chance
(I'll point you to the mirror)
I'm half as good as it gets
(I'll point you to the mirror)
I'm on both sides of the fence
(I'll point you to the mirror)
Without a hint of regret
I'll hold you to it


[Chorus]
I know you don't believe me
But the way I, way I see it
Next time you point a finger
I might have to bend it back or break it, break it off
Next time you point a finger
I'll point you to the mirror
I know you won't believe me
But the way I, way I see it
Next time you point a finger
I might have to bend it back or break it, break it off
Next time you point a finger
I'll point you to the mirror"
Brick by Boring Brick,brand new eyes,"[Verse 1]
She lives in a fairy tale

Somewhere too far for us to find

Forgotten the taste and smell
Of a world that she's left behind

""It's all about the exposure
The lens,""
I told her
The angles were all wrong, now
She's ripping wings off of butterflies


[Pre-Chorus]
Keep your feet on the ground
When your head's in the clouds


[Chorus]
Well, go get your shovel
And we'll dig a deep hole

To bury the castle
Bury the castle

Go get your shovel
And we'll dig a deep hole

To bury the castle
Bury the castle


[Post-Chorus]
Ba-da-ba, ba-da-ba-ba-da

[Verse 2]
So one day, he found her crying
Coiled up on the dirty ground
Her prince finally came to save her
And the rest you can figure out
But it was a trick
And the clock struck twelve
, well, make sure
To build your home brick by boring brick
Or the wolf's gonna blow it down


[Pre-Chorus]
Keep your feet on the ground
When your head's in the clouds


[Chorus]
Well, go get your shovel
And we'll dig a deep hole

To bury the castle
Bury the castle

Go get your shovel
And we'll dig a deep hole

And we'll bury the castle
Bury the castle


[Post-Chorus]
Woah
Woah

[Bridge]
Well, you built up a world of magic
Because your real life is tragic
Yeah, you built up a world of magic

Well, if it's not real, you can't hold it in your hand
You can't feel it with your heart
And I won't believe it
But if it's true, you can see it with your eyes
Oh, even in the dark
And that's where I want to be, yeah


[Chorus]
Go get your shovel
(You'll be better off without me now)

And we'll dig a deep hole

To bury the castle
Bury the castle

Go get your shovel
(You'll be better off without me now)
And we'll dig a deep hole

To bury the castle
Bury the castle


[Outro]
Ba-da-ba, ba-da-ba-ba-da
Ba-da-ba-ba, ba-da-ba-ba
Ba-da-ba, ba-da-ba-ba-da
Ba-da-ba-ba, ba-da-ba-ba (Ba-ba-ba)
Ba-da-ba, ba-da-ba-ba-da
Ba-da-ba-ba, ba-da-ba-ba
Ba-da-ba, ba-da-ba-ba-da
Ba-da-ba-ba-ba, ba-ba-ba-ba"
Turn It Off,brand new eyes,"[Verse 1]
I scraped my knees while I was praying
And found a demon in my safest haven

Seems like it's getting harder to believe in anything
Than just to get lost in all my selfish thoughts

I wanna know what it'd be like
To find perfection in my pride, to see nothing in the light
Or turn it off in all my spite
In all my spite, I'll turn it off


[Chorus]
And the worst part is before it gets any better
We're headed for a cliff
And in the freefall, I will realize I'm better off
When I hit the bottom


[Verse 2]
The tragedy, it seems unending
I'm watching everyone I looked up to breaking, bending
Or taking shortcuts and false solutions
Just to come out the hero

Well, I can see behind the curtain (I can see now)
The wheels are cranking, turning, it's all wrong the way we're working
Towards a goal that's nonexistent
It's nonexistent, but we just keep believing

[Chorus]
And the worst part is before it gets any better
We're headed for a cliff
And in the freefall, I will realize I'm better off
When I hit the bottom


[Bridge]
I wanna know what it'd be like
To find perfection in my pride
, to see nothing in the light
And turn it off in all my spite
In all my spite, I'll turn it off, just turn it off
Again
Again, again

[Chorus]
And the worst part is before it gets any better
We're headed for a cliff
And in the freefall, I will realize I'm better off
When I hit the bottom
And the worst part is before it gets any better
We're headed for a cliff
And in the freefall, I will realize I'm better off
When I hit the bottom"
The Only Exception,brand new eyes,"[Verse 1]

When I was younger, I saw
My daddy cry and curse at the wind
He broke his own heart and I watched
As he tried to reassemble it
And my mama swore that she would
Never let herself forget
And that was the day that I promised
I'd never sing of love if it does not exist


[Chorus]
But, darling, you are the only exception
You are the only exception
You are the only exception
You are the only exception


[Verse 2]
Maybe I know somewhere
Deep in my soul that love never lasts

And we've got to find other ways
To make it alone or keep a straight face
And I've always lived like this
Keeping a comfortable distance

And up until now, I had sworn
To myself that I'm content with loneliness

Because none of it was ever worth the risk

[Chorus]
Well, you are the only exception
You are the only exception
You are the only exception
You are the only exception


[Bridge]
I've got a tight grip on reality, but I can't
Let go of what's in front of me here

I know you're leaving in the morning when you wake up
Leave me with some kind of proof it's not a dream, oh


[Chorus]
You are the only exception
You are the only exception
You are the only exception
You are the only exception
You are the only exception
You are the only exception
You are the only exception
You are the only exception


[Outro]
And I'm on my way to believing
Oh, and I'm on my way to believing"
Feeling Sorry,brand new eyes,"[Verse 1]
We still live in the same town, well, don't we?
But I don't see you around anymore
I go to all the same places, not even a trace of you

Your days are numbered at twenty-four


[Pre-Chorus]
And I'm getting bored waiting 'round for you
We're not getting any younger and I
Won't look back 'cause there's no use
It's time to move forward


[Chorus]

I feel no sympathy
You live inside a cave

You barely get by, the rest of us are trying
There's no need to apologize
I've got no time for feeling sorry

[Verse 2]
I try not to think of what might happen
When your reality, it finally cuts through
Well, as for me, I got out and I'm on the road
The worst part is that this, this, this could be you

[Pre-Chorus]
You know it too, you can't run from your shame
You're not getting any younger and time
Keeps passing by, but you wave it away
It's time to roll over

[Chorus]

I feel no sympathy
You live inside a cave
You barely get by, the rest of us are trying
There's no need to apologize
I've got no time for feeling sorry

[Bridge]
And all the best lies
They are told with fingers tied
So cross them tight
Won't you promise me tonight
If it's the last thing you do, you'll get out

[Chorus]

I feel no sympathy
You live inside a cave
You barely get by, the rest of us are trying
There's no need to apologize
I've got no time, got no time
I feel no sympathy
You live inside a cave
You barely get by, the rest of us are trying
There's no need to apologize
I've got no time
I've got no time for feeling sorry
I've got no time for feeling sorry"
Looking Up,brand new eyes,"[Verse 1]
Things are looking up, oh, finally
I thought I'd never see the day when you'd smile at me

We always pull through, oh, when we try
I'm always wrong, but you're never right
Oh, you're never right

[Chorus]
Honestly, can you believe
We cross the world while it's asleep?

I'll never trade it in
'Cause I've always wanted this and
It's not a dream anymore
No
It's not a dream anymore
It's worth fighting for


[Verse 2]
Could've given up so easily
I was a few cheap shots away from the end of me

Taking for granted 'most everything
That I would've died for just yesterday
Just yesterday


[Chorus]
Honestly, can you believe
We cross the world while it's asleep?

I'll never trade it in
'Cause I've always wanted this and
It's not a dream anymore
No
It's not a dream anymore
It's worth fighting for

[Verse 3]
God knows the world doesn't need another band
Woah, oh, oh, woah, oh, oh
But what a waste it would've been
Woah, oh, oh, woah, oh, oh
I can't believe we almost hung it up
Woah, oh, oh, woah, oh, oh
We're just getting started
Woah, oh, oh, woah, oh, oh, oh


[Chorus]
Honestly, can you believe
We cross the world while it's asleep?

I'll never trade it in
'Cause I've always wanted this and
It's not a dream anymore
No
It's not a dream anymore
No
It's not a dream anymore (It's not a dream anymore)
No
It's not a dream anymore (No, it's not a dream anymore)
It's worth fighting for

[Outro]
I can't believe we almost hung it up
Woah, oh, oh, woah, oh, oh
We're just getting started
Woah, oh, oh, woah, oh, oh
I can't believe we almost hung it up
Woah, oh, oh, woah, oh, oh
We're just getting started
Yeah, we're just getting started"
Where the Lines Overlap,brand new eyes,"[Verse 1]
Give me attention, I need it now
Too much distance to measure it out, out loud

Tracing patterns across a personal map
And making pictures where the lines overlap

[Pre-Chorus]
Where the lines overlap

[Chorus]
No one is as lucky as us
We're not at the end, but, oh, we already won
No, no, no one
Is as lucky as us, is as lucky as us

[Verse 2]
Call me over and tell me how
Well, you got so far and never making a single sound
I'm not used to it, but I can learn
There's nothing to it, I've never been happier

[Pre-Chorus]
I've never been happier

[Chorus]
No one is as lucky as us
We're not at the end, but, oh, we already won
Oh, no, no one
Is as lucky as us, is as lucky as us

[Bridge]
And now I've got a feeling if I sang this loud enough
You would sing it back to me
I've got a feeling if I sang this loud enough
You would sing it back to me
I've got a feeling, I've got a feeling
That you would sing it back to me
You would sing it back to me


[Chorus]
No one is as lucky as us
We're not at the end, but, oh, we already won
Oh, no, no one (No one)
Is as lucky as us, is as lucky as us
Is as lucky as us"
Misguided Ghosts,brand new eyes,"[Intro]
One, two, three, four

[Verse 1]
I am going away for a while
But I'll be back, don't try and follow me
'Cause I'll return as soon as possible
See, I'm trying to find my place
But it might not be here where I feel safe
We all learn to make mistakes

[Pre-Chorus]
And run from them, from them
With no direction
We'll run from them, from them
With no conviction

[Chorus]
'Cause I'm just one of those ghosts
Traveling endlessly

Don't need no roads
In fact, they follow me
And we just go in circles


[Verse 2]
Now I'm told that this is life
And pain is just a simple compromise
So we can get what we want out of it

Would someone care to classify
Our broken hearts and twisted minds?
So I can find someone to rely on

[Pre-Chorus]
And run to them, to them
Full speed ahead

Oh, you are not useless
We are just

[Chorus]
Misguided ghosts
Traveling endlessly

The ones we trusted the most
Pushed us far away

And there's no one road

We should not be the same
But I'm just a ghost

And still they echo me
They echo me in circles"
All I Wanted,brand new eyes,"[Verse 1]
Think of me when you're out, when you're out there

I'll beg you nice from my knees
And when the world treats you way too fairly
Well, it's a shame I'm a dream

[Chorus]
All I wanted was you
All I wanted was you


[Verse 2]
I think I'll pace my apartment a few times
And fall asleep on the couch
And wake up early to black-and-white reruns
That escape from my mouth
(Oh, oh)

[Chorus]
All I wanted was you
All I wanted was you
All I wanted was you
All I wanted was you

[Verse 3]
I could follow you to the beginning
Just to relive the start

And maybe then, we'd remember to slow down
At all of our favorite parts

[Chorus]
All I wanted was you

All I wanted was you
All I wanted was you
All I wanted was you
All I wanted was you"
